libraryId,anatId,anatName,stageId,stage,sex,strain,platform
SRX5543940,UBERON:0034671,arcuate sulcus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543941,UBERON:0000451,prefrontal cortex,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543942,UBERON:0002570,medial orbital gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543943,UBERON:0002022,insula,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543944,UBERON:0002703,precentral gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543945,UBERON:0002703,precentral gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543946,UBERON:0002581,postcentral gyrus,MmulDv:0000029,9-year-old stage (macaque),female,NA,paired
SRX5543947,UBERON:0002756,anterior cingulate gyrus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543948,UBERON:0002336,corpus callosum,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543949,UBERON:0004703,dorsal thalamus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543950,UBERON:0001898,hypothalamus,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543951,UBERON:0001896,medulla oblongata,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543952,UBERON:0000988,pons,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543953,UBERON:0002129,cerebellar cortex,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543954,UBERON:0004720,cerebellar vermis,MmulDv:0000030,10-year-old stage (macaque),male,NA,paired
SRX5543955,UBERON:0002661,superior frontal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543956,UBERON:0002686,angular gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543957,UBERON:0026137,annectant gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543958,UBERON:0006092,cuneus cortex,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543959,UBERON:0002948,superior occipital gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543960,UBERON:0002948,superior occipital gyrus,MmulDv:0000023,3-year-old mature stage (macaque),female,NA,paired
SRX5543961,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,paired
SRX5543962,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,paired
SRX5543963,UBERON:0002766,fusiform gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543964,UBERON:0002973,parahippocampal gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543965,UBERON:0002943,lingual gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543966,UBERON:0002740,posterior cingulate gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543967,UBERON:0002756,anterior cingulate gyrus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543968,UBERON:0002336,corpus callosum,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543969,UBERON:0004703,dorsal thalamus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543970,UBERON:0001898,hypothalamus,MmulDv:0000023,3-year-old mature stage (macaque),male,NA,paired
SRX5543971,UBERON:0002264,olfactory bulb,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
SRX5543972,UBERON:0002702,middle frontal gyrus,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
SRX5543973,UBERON:0002998,inferior frontal gyrus,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
SRX5543974,UBERON:0002661,superior frontal gyrus,MmulDv:0000024,4-year-old stage (macaque),male,NA,paired
