libraryId,anatId,anatName,stageId,stage,sex,strain,platform
SRX155079,UBERON:0004023,ganglionic eminence,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155080,UBERON:0004023,ganglionic eminence,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155081,UBERON:0003053,ventricular zone,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155082,UBERON:0003053,ventricular zone,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155083,UBERON:0003053,ventricular zone,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155084,UBERON:0003053,ventricular zone,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX155085,UBERON:0003053,ventricular zone,MmusDv:0000029,Theiler stage 22 (mouse),NA,C57BL/6J,single
SRX1595811,UBERON:0002385,muscle tissue,MmusDv:0000091,20-month-old stage and over (mouse),NA,C57BL/6J,single
SRX1595812,UBERON:0002385,muscle tissue,MmusDv:0000091,20-month-old stage and over (mouse),NA,C57BL/6J,single
SRX1595813,UBERON:0002385,muscle tissue,MmusDv:0000063,3-month-old stage (mouse),NA,C57BL/6J,single
SRX1595814,UBERON:0002385,muscle tissue,MmusDv:0000063,3-month-old stage (mouse),NA,C57BL/6J,single
SRX1603004,UBERON:0001049,neural tube,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603005,UBERON:0001049,neural tube,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603006,UBERON:0001890,forebrain,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603007,UBERON:0001890,forebrain,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603008,UBERON:0002028,hindbrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603009,UBERON:0002028,hindbrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603011,UBERON:0000948,heart,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603012,UBERON:0000948,heart,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603013,UBERON:0001891,midbrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603014,UBERON:0001891,midbrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603015,UBERON:0002048,lung,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603016,UBERON:0002048,lung,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603017,UBERON:0002113,kidney,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603018,UBERON:0002113,kidney,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603020,UBERON:0001890,forebrain,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603021,UBERON:0001890,forebrain,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603024,UBERON:0002107,liver,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603025,UBERON:0002107,liver,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603028,UBERON:0001049,neural tube,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603029,UBERON:0001049,neural tube,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603037,UBERON:0000082,adult mammalian kidney,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603038,UBERON:0000082,adult mammalian kidney,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603040,UBERON:0000945,stomach,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603041,UBERON:0000945,stomach,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603044,UBERON:0001890,forebrain,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603045,UBERON:0001890,forebrain,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603049,UBERON:0002101,limb,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603050,UBERON:0002101,limb,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603054,UBERON:0005394,cortical layer V,MmusDv:0000079,8-month-old stage (mouse),male,C57BL/6,single
SRX1603055,UBERON:0005394,cortical layer V,MmusDv:0000079,8-month-old stage (mouse),male,C57BL/6,single
SRX1603058,UBERON:0001134,skeletal muscle tissue,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603059,UBERON:0001134,skeletal muscle tissue,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603066,UBERON:0002107,liver,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603067,UBERON:0002107,liver,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603070,UBERON:0000948,heart,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603071,UBERON:0000948,heart,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603072,UBERON:0000945,stomach,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603073,UBERON:0000945,stomach,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603075,UBERON:0002028,hindbrain,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603076,UBERON:0002028,hindbrain,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603079,UBERON:0001891,midbrain,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603080,UBERON:0001891,midbrain,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603085,UBERON:0001049,neural tube,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603086,UBERON:0001049,neural tube,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603087,UBERON:0001891,midbrain,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603088,UBERON:0001891,midbrain,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603089,UBERON:0000160,intestine,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603090,UBERON:0000160,intestine,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603091,UBERON:0002101,limb,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603092,UBERON:0002101,limb,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603095,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603096,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603099,UBERON:0001891,midbrain,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603100,UBERON:0001891,midbrain,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603101,UBERON:0000160,intestine,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603102,UBERON:0000160,intestine,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603108,UBERON:0002028,hindbrain,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603109,UBERON:0002028,hindbrain,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603112,UBERON:0002370,thymus,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603113,UBERON:0002370,thymus,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603116,UBERON:0002107,liver,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603117,UBERON:0002107,liver,MmusDv:0000028,Theiler stage 21 (mouse),mixed,C57BL/6Cr,single
SRX1603118,UBERON:0002048,lung,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603119,UBERON:0002048,lung,MmusDv:0000032,Theiler stage 23 (mouse),mixed,C57BL/6Cr,single
SRX1603121,UBERON:0000945,stomach,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603122,UBERON:0000945,stomach,MmusDv:0000033,Theiler stage 24 (mouse),mixed,C57BL/6Cr,single
SRX1603125,UBERON:0002113,kidney,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603126,UBERON:0002113,kidney,MmusDv:0000029,Theiler stage 22 (mouse),mixed,C57BL/6,single
SRX1603127,UBERON:0000948,heart,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603128,UBERON:0000948,heart,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603129,UBERON:0000948,heart,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603130,UBERON:0000948,heart,UBERON:0007221,neonate stage,NA,C57BL/6,single
SRX1603131,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603132,UBERON:0001890,forebrain,UBERON:0007221,neonate stage,NA,C57BL/6Cr,single
SRX1603135,UBERON:0002101,limb,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
SRX1603136,UBERON:0002101,limb,MmusDv:0000026,Theiler stage 19 (mouse),mixed,C57BL/6Cr,single
